"","size.bin","depth_max","veg.cover","submerged","emergent","floating","global_surface","mean_area","r_max","kCO2","kCH4"
"4","inf 0.1","1.00077357632965",41.68,67.5619047619048,20.8952380952381,11.3714285714286,1229573,0.0018,23.936536824086,0.43,0.42
"1","0.1-1","10.7251774158442",37.0586666666667,67.5619047619048,20.8952380952381,11.3714285714286,984651,0.261180636604775,288.333797379141,0.8,0.79
"2",".1-10","14.6032488091844",30.4707034632035,67.5619047619048,20.8952380952381,11.3714285714286,782074,2.38745817764427,871.751995004605,0.85,0.84
"3","10-100","29.3320199707374",27.0265813435357,67.5619047619048,20.8952380952381,11.3714285714286,597789,25.0760937958807,2825.23778859424,1.09,1.08
"5","sup 100","79.0962753685541",26.1136111111111,67.5619047619048,20.8952380952381,11.3714285714286,1625674,760.727187646233,15561.0727302647,1.15,1.14
